...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　拆入资金,21903,17354,25042,22206,26206,30375,34131,26312,56702,108955,149721,174363,224923,315759
　　交易性金融负债,NA,NA,NA,NA,NA,10488,22677,113899,35013,208410,158745,306259,372493,430443
　　衍生金融负债,NA,NA,NA,NA,NA,7294,11534,7690,12378,10284,5514,7635,7240,12192
　　卖出回购金融资产款,NA,NA,NA,NA,NA,73391,35090,100812,37467,92079,7631,26787,131021,88804
　　吸收存款,2479618,2997288,3491549,4036854,4730372,5287194,6097428,7497618,8887905,9622026,10862935,11811411,12533397,13538360
NA,2795607,3305190,3805937,4409999,5093940,5782836,6455856,8219526,9518278,10565006,11961333,13029126,14049315,15579254
　　应付职工薪酬,NA,NA,NA,NA,NA,58349,68144,29938,34584,40617,47697,45573,40511,39890
　　应交税费,NA,NA,NA,NA,NA,32804,26173,9445,21778,44992,48453,51755,48873,45214
　　应付利息,NA,NA,NA,NA,NA,44686,66512,66762,73771,91143,133744,163328,192876,225383
　　应付债券,NA,NA,NA,NA,NA,4154,5150,55179,62344,119390,192639,266261,325167,382742
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,82,27,15,8,43,111
　　预计负债,NA,NA,NA,NA,NA,5395,5784,5047,3901,3369,4090,4723,13902,17682
　　其他负债,44919,50857,129769,281413,166001,31496,61101,52954,42965,71166,97386,130004,139825,200428
　　负债合计,2840526,3356047,3935706,4691412,5259941,6033111,6723810,8539663,9795170,11027789,12492988,13717565,14941533,16579508
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,NA,NA,NA,NA,NA,121612,260000,260000,324794,324794,324794,324794,324794,324794
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39944,79899
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39944,79899
　　资本公积金,NA,NA,NA,NA,NA,-4666,17292,4624,96602,100097,97872,76001,98773,98773
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2265,22266
　　盈余公积金,NA,NA,NA,NA,NA,NA,1187,7676,17242,29509,43996,60632,78594,96748
　　未分配利润,NA,NA,NA,NA,NA,-844620,12022,59817,45484,131086,208488,243482,329989,412005
　　一般风险准备,NA,NA,NA,NA,NA,57,64,10772,58335,64854,75349,139204,156707,175606
　　外币报表折算差额,NA,NA,NA,NA,NA,12,-120,-70,-386,-739,-684,-1005,NA,NA
　　股权权益差额(合计平衡项目),136040,137969,78063,79607,84002,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,136040,137969,78063,79607,84002,-727605,290445,342819,542071,649601,749815,843108,1031066,1210091
　　少数股东权益,NA,NA,NA,NA,NA,NA,96,106,165,187,1539,1429,1553,1794
　　所有者权益合计,136040,137969,78063,79607,84002,-727605,290541,342925,542236,649788,751354,844537,1032619,1211885
负债及股东权益总计,2976566,3494016,4013769,4771019,5343943,5305506,7014351,8882588,10337406,11677577,13244342,14562102,15974152,17791393
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-05-12,2009-05-12,2009-05-12,2009-05-11,2008-05-23,2010-06-17,2010-06-17,2010-07-13,2011-03-30,2012-03-23,2013-03-27,2014-03-26,2015-03-25,2016-04-01
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
